split,faultNumber,model,n_trajectories,mean_metric,median_metric,std_metric,minimum,maximum
test,19,extra_trees,500,0.770514335140936,0.7777777777777778,0.09196587905132358,0.5,1.0
test,19,hist_gradient_boosting,500,0.7490332722339086,0.76,0.095169168497129,0.42857142857142855,1.0
test,19,linear_svm,500,0.0692506770636162,0.058823529411764705,0.05977898622202914,0.0,0.29411764705882354
test,19,logistic_regression,500,0.0762514535708645,0.06666666666666667,0.06364296946104414,0.0,0.34615384615384615
test,19,random_forest,500,0.7354956844563325,0.7391304347826086,0.10240608759722736,0.375,1.0
test,20,decision_tree,500,0.5525169218705797,0.5555555555555556,0.11798687863177089,0.18181818181818182,0.9166666666666666
test,20,extra_trees,500,0.6395183757306535,0.6470588235294118,0.11240371547886369,0.3181818181818182,1.0
test,20,hist_gradient_boosting,500,0.6872663314506994,0.6875,0.1048140671236896,0.35714285714285715,1.0
test,20,linear_svm,500,0.6587443287219047,0.6666666666666666,0.1082851244917659,0.2608695652173913,0.9230769230769231
test,20,logistic_regression,500,0.6910689718716047,0.6956521739130435,0.10460166282979755,0.3793103448275862,1.0
test,20,random_forest,500,0.6388985357127179,0.6414285714285715,0.11035255527774017,0.3181818181818182,1.0
validation,0,decision_tree,100,0.15212339101498915,0.14634146341463414,0.055620065200622085,0.024390243902439025,0.3
validation,0,extra_trees,100,0.11331302890888714,0.1111111111111111,0.05139844654858072,0.02127659574468085,0.22807017543859648
validation,0,hist_gradient_boosting,100,0.2188538104375029,0.21153846153846154,0.06933873194870405,0.07894736842105263,0.43636363636363634
validation,0,linear_svm,100,0.07925989568254801,0.07294900221729489,0.04218666228171573,0.0,0.1956521739130435
validation,0,logistic_regression,100,0.07456459133786492,0.07142857142857142,0.038038672912036164,0.0,0.1590909090909091
validation,0,random_forest,100,0.15376460342757417,0.14877049180327867,0.059953739738934246,0.043478260869565216,0.3170731707317073
validation,1,decision_tree,100,0.947235612866653,0.9478221415607986,0.02779711915874943,0.8888888888888888,1.0
validation,1,extra_trees,100,0.9565560077705613,0.9569842738205365,0.026557455671318106,0.8947368421052632,1.0
validation,1,hist_gradient_boosting,100,0.9480690188674227,0.9459415584415585,0.029378268069354382,0.8888888888888888,1.0
validation,1,linear_svm,100,0.9398012925214053,0.9393877551020409,0.029230674746371612,0.8775510204081632,1.0
validation,1,logistic_regression,100,0.9439442371601582,0.9464285714285714,0.028391815587699175,0.8793103448275862,1.0
validation,1,random_forest,100,0.9556403089535027,0.9569842738205365,0.02653838562830165,0.8947368421052632,1.0
validation,2,decision_tree,100,0.9397867371077966,0.9439203354297694,0.03062272166955186,0.8571428571428571,1.0
validation,2,extra_trees,100,0.9440248274208853,0.9444444444444444,0.029401033543154813,0.8793103448275862,1.0
validation,2,hist_gradient_boosting,100,0.9416039815196291,0.9453300124533002,0.03214063752586497,0.8620689655172413,1.0
validation,2,linear_svm,100,0.938885235949094,0.9405416012558869,0.030719205881891205,0.868421052631579,1.0
validation,2,logistic_regression,100,0.9383962487422182,0.9405416012558869,0.030363315089991776,0.8571428571428571,1.0
validation,2,random_forest,100,0.9437579102767092,0.944949494949495,0.02993192176112184,0.868421052631579,1.0
validation,3,decision_tree,100,0.16040514404417633,0.16,0.050548951466751084,0.04081632653061224,0.28
validation,3,extra_trees,100,0.1555575409058077,0.1531942633637549,0.05865105337785253,0.05454545454545454,0.3389830508474576
validation,3,hist_gradient_boosting,100,0.43317988746597763,0.4318181818181818,0.0721161618925201,0.2926829268292683,0.627906976744186
validation,3,linear_svm,100,0.1185710126867146,0.1067629179331307,0.05159880178787607,0.01694915254237288,0.2459016393442623
validation,3,logistic_regression,100,0.06902310493105637,0.06539558089807555,0.03432668853448447,0.0,0.14893617021276595
validation,3,random_forest,100,0.2189703456041753,0.21071176885130374,0.06444827801058217,0.08163265306122448,0.3673469387755102
validation,4,decision_tree,100,0.8940231521825155,0.8933712121212121,0.04160939203953001,0.7894736842105263,0.9767441860465116
validation,4,extra_trees,100,0.9563231586155757,0.9581754590498397,0.02348774444163985,0.8947368421052632,1.0
validation,4,hist_gradient_boosting,100,0.9435961305156555,0.9417420814479638,0.028742362882609868,0.868421052631579,1.0
validation,4,linear_svm,100,0.9621914823430299,0.9611613876319759,0.024695238044799173,0.8947368421052632,1.0
validation,4,logistic_regression,100,0.9618401726357879,0.9607843137254902,0.025014165326478772,0.8947368421052632,1.0
validation,4,random_forest,100,0.9451007006504516,0.9464285714285714,0.028510783717286013,0.8620689655172413,1.0
validation,5,decision_tree,100,0.8732902468289062,0.8806779661016949,0.05236941852462444,0.7454545454545455,1.0
validation,5,extra_trees,100,0.945599876999126,0.9497476871320437,0.030150575763538683,0.868421052631579,1.0
validation,5,hist_gradient_boosting,100,0.9534166680650739,0.9560386473429952,0.025367237870628622,0.8809523809523809,1.0
validation,5,linear_svm,100,0.9552036344466122,0.9569842738205365,0.025962522803424277,0.8793103448275862,1.0
validation,5,logistic_regression,100,0.9473152637267384,0.944949494949495,0.026795524519175214,0.8793103448275862,1.0
validation,5,random_forest,100,0.946872397225929,0.9545454545454546,0.029528841179599502,0.8863636363636364,1.0
validation,6,decision_tree,100,0.9605888672358841,0.9607843137254902,0.02524878665302208,0.8947368421052632,1.0
validation,6,extra_trees,100,0.9622369368884844,0.9607843137254902,0.024361818258010336,0.8947368421052632,1.0
validation,6,hist_gradient_boosting,100,0.9511012498562207,0.9555555555555556,0.03163683997285745,0.8478260869565217,1.0
validation,6,linear_svm,100,0.9595164089354653,0.9603921568627451,0.030860504051718494,0.8113207547169812,1.0
validation,6,logistic_regression,100,0.9622369368884844,0.9607843137254902,0.024361818258010336,0.8947368421052632,1.0
validation,6,random_forest,100,0.9622369368884844,0.9607843137254902,0.024361818258010336,0.8947368421052632,1.0
